"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"36",40,365664.5335,4304071.199,5,2,0,4,6,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
"37",40,365664.5335,4304071.199,3,4,0,3,5,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
"38",41,365664.9221,4304052.16,3,4,0,3,5,289,511,450,2174,0.657012195121951,1.59305119201626,-0.619366852886406,0.984955246619691
"39",42,365664.9574,4304050.992,3,4,0,3,5,289,511,450,2174,0.657012195121951,1.59305119201626,-0.619366852886406,0.984955246619691
"40",43,365664.1971,4304050.846,3,4,0,3,5,289,511,450,2174,0.657012195121951,1.59305119201626,-0.619366852886406,0.984955246619691
"41",44,365663.7935,4304051.791,3,4,0,3,5,289,511,450,2174,0.657012195121951,1.59305119201626,-0.619366852886406,0.984955246619691
"42",44,365663.7935,4304051.791,3,4,0,3,6,289,511,450,2174,0.657012195121951,1.59305119201626,-0.619366852886406,0.984955246619691
"43",48,365667.3501,4304019.979,5,1,0,3,6,268,481,426,2031,0.653235653235653,1.55764751552795,-0.61703821656051,0.979255643685174
"44",51,365670.1027,4304006.391,5,2,0,0,2,259,475,389,2286,0.709158878504673,1.77190360545489,-0.655921767475552,1.06314216327293
"45",52,365669.4802,4304007.275,5,2,0,0,2,259,475,389,2286,0.709158878504673,1.77190360545489,-0.655921767475552,1.06314216327293
"46",53,365672.0426,4303980.628,0,3,0,4,6,252,488,360,2538,0.751552795031056,1.93979337370859,-0.677461996034369,1.12674599068805
"47",54,365671.9141,4303979.687,0,3,0,4,6,252,488,360,2538,0.751552795031056,1.93979337370859,-0.677461996034369,1.12674599068805
"48",55,365670.6986,4303979.756,0,3,0,4,6,252,488,360,2538,0.751552795031056,1.93979337370859,-0.677461996034369,1.12674599068805
"49",56,365670.7773,4303980.751,0,3,0,4,6,252,488,360,2538,0.751552795031056,1.93979337370859,-0.677461996034369,1.12674599068805
"50",59,365671.4794,4303944.737,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"51",59,365671.4794,4303944.737,3,6,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"52",60,365671.4108,4303945.581,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"53",60,365671.4108,4303945.581,3,6,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"54",63,365673.0845,4303917.944,3,3,0,4,5,277,482,411,2216,0.687095546250476,1.73324371038986,-0.642698295033358,1.03005516454251
"55",64,365672.9292,4303918.925,3,3,0,4,5,277,482,411,2216,0.687095546250476,1.73324371038986,-0.642698295033358,1.03005516454251
"56",65,365675.8212,4303903.531,1,2,0,5,4,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
"57",66,365675.8461,4303902.374,1,2,0,5,4,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
"58",67,365674.6742,4303902.477,1,2,0,5,4,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
"59",68,365674.5052,4303903.384,1,2,0,5,4,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
"60",69,365679.3291,4303891.203,2,0,0,5,6,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
