"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"56",65,365675.8212,4303903.531,1,2,0,4,6,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"57",66,365675.8461,4303902.374,1,2,0,4,6,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"58",67,365674.6742,4303902.477,1,2,0,4,6,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"59",68,365674.5052,4303903.384,1,2,0,4,6,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"60",69,365679.3291,4303891.203,1,0,0,6,5,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"61",70,365679.2558,4303890.119,1,0,0,6,5,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"62",71,365678.4592,4303890.003,1,0,0,6,5,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"63",72,365678.4972,4303890.865,1,0,0,6,5,209,412,350,2401,0.745547073791349,1.74850809889173,-0.707074297902595,1.11771117166213
"64",81,365677.5484,4303815.197,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"65",82,365677.512,4303814.014,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"66",83,365676.5417,4303814.149,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"67",84,365676.4647,4303815.027,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"68",85,365676.3402,4303797.053,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"69",86,365676.7038,4303796.153,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"70",87,365675.2093,4303796.116,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"71",88,365675.2037,4303796.898,1,0,0,5,5,189,390,311,2589,0.78551724137931,1.87551457269883,-0.738167170191339,1.17766672410822
"72",89,365865.8257,4304043.48,0,0,6,0,0,229,461,312,2084,0.739565943238731,1.97988826815642,-0.637721021611002,1.10865484880083
"73",90,365865.5223,4304042.596,0,0,6,0,0,229,461,312,2084,0.739565943238731,1.97988826815642,-0.637721021611002,1.10865484880083
"74",91,365864.6297,4304042.643,0,0,6,0,0,229,461,312,2084,0.739565943238731,1.97988826815642,-0.637721021611002,1.10865484880083
"75",91,365864.6297,4304042.643,0,0,6,0,0,229,461,312,2084,0.739565943238731,1.97988826815642,-0.637721021611002,1.10865484880083
"76",92,365864.6957,4304043.349,0,0,6,0,0,229,461,312,2084,0.739565943238731,1.97988826815642,-0.637721021611002,1.10865484880083
"77",92,365864.6957,4304043.349,0,0,6,0,0,229,461,312,2084,0.739565943238731,1.97988826815642,-0.637721021611002,1.10865484880083
"78",96,365867.9972,4304077.954,0,0,3,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"79",97,365868.1022,4304059.612,0,0,6,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"80",98,365867.6161,4304058.58,0,0,3,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"81",98,365867.6161,4304058.58,0,0,6,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"82",99,365866.864,4304058.725,0,0,3,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"83",99,365866.864,4304058.725,0,0,6,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"84",100,365867.193,4304059.695,0,0,3,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"85",100,365867.193,4304059.695,0,0,6,0,0,191,416,295,1084,0.572153734590283,1.38859556494192,-0.445333333333333,0.85729808040565
"86",103,365867.8428,4304019.61,0,0,6,0,0,272,488,318,2331,0.759909399773499,2.28958143767061,-0.653777935438099,1.13921901528014
"87",104,365867.7192,4304020.595,0,0,6,0,0,272,488,318,2331,0.759909399773499,2.28958143767061,-0.653777935438099,1.13921901528014
"88",105,365872.9074,4304006.135,0,0,6,0,0,272,488,318,2331,0.759909399773499,2.28958143767061,-0.653777935438099,1.13921901528014
"89",106,365873.412,4304004.994,0,0,6,0,0,272,488,318,2331,0.759909399773499,2.28958143767061,-0.653777935438099,1.13921901528014
